Sample;Frequency (GHz);LG (mV);HG (mV);Thickness (mm)
H1;100;82.895862;0.732493;0.07
H1;100;54.572093;1.220822;0.07
H1;100;62.995972;-0.122094;0.07
H1;100;81.430839;-0.12207;0.07
H1;100;55.915029;1.342893;0.07
H1;100;56.159198;-0.12207;0.07
H1;100;39.06727;-0.976706;0.07
H1;100;38.823098;-0.854588;0.07
H1;100;51.764134;0.244141;0.07
H1;100;49.444513;-2.319574;0.07
H1;100;93.517275;0.366211;0.07
H1;100;71.053594;1.465011;0.07
H1;100;69.832744;-0.122094;0.07
H1;100;72.762787;0.366259;0.07
H1;100;45.415701;0.610399;0.07
H1;100;53.839579;-0.12207;0.07
H1;100;30.521303;0.244164;0.07
H1;100;45.90404;0.732493;0.07
H1;100;11.47601;-0.366235;0.07
H1;100;51.764131;0.610399;0.07
H1;100;74.594067;-0.610423;0.07
H1;100;61.408865;-0.4884;0.07
H1;100;46.758638;-0.488329;0.07
H1;100;112.56257;-0.610447;0.07
H1;100;110.242951;-1.098728;0.07
H1;100;59.577586;0.854564;0.07
H1;100;54.816261;0.610423;0.07
H1;100;81.552923;-0.854564;0.07
H1;100;26.736662;2.38E-05;0.07
H1;100;78.989133;0.976634;0.07
H1;100;31.62007;0.12207;0.07
H1;100;46.758638;-1.220846;0.07
H1;100;16.237333;0.976658;0.07
H1;100;42.607741;-0.610423;0.07
H1;100;87.413017;-0.488329;0.07
H1;100;66.170186;2.38E-05;0.07
H1;100;58.478819;-0.244164;0.07
H1;100;46.758637;0.854611;0.07
H1;100;56.40337;-0.976682;0.07
H1;100;72.396533;2.38E-05;0.07
H1;100;61.164692;0.122094;0.07
H1;100;112.56257;-0.244164;0.07
H1;100;50.299108;0.488329;0.07
H1;100;68.978146;0.610423;0.07
H1;100;62.751801;-0.732493;0.07
H1;100;53.839581;0.366259;0.07
H1;100;55.060431;0.73247;0.07
H1;100;41.142718;0.122118;0.07
H1;100;56.769626;-0.976706;0.07
H1;100;52.618727;-0.488305;0.07
H1;100;160.297891;1.098728;0.07
H1;100;24.172872;0.976586;0.07
H1;100;58.112562;0.366235;0.07
H1;100;30.277133;-0.122046;0.07
H1;100;33.329265;-0.122094;0.07
H1;100;125.747773;-0.976658;0.07
H1;100;110.609207;-0.244164;0.07
H1;100;64.705165;-7.15E-05;0.07
H1;100;17.946526;-1.098776;0.07
H1;100;112.196314;1.342916;0.07
H1;100;65.193504;0.976658;0.07
H1;100;31.009644;-1.709175;0.07
H1;100;65.193506;0.244212;0.07
H1;100;86.558418;7.15E-05;0.07
H1;100;69.344401;0.610399;0.07
H1;100;40.654378;0.610352;0.07
H1;100;89.976804;-2.38E-05;0.07
H1;100;52.252471;0.488353;0.07
H1;100;85.581738;0;0.07
H1;100;-2.80796;-0.366282;0.07
H1;100;43.95068;0.85454;0.07
H1;100;80.698329;0.488377;0.07
H1;100;34.42803;0.366306;0.07
H1;100;80.576241;0.610399;0.07
H1;100;56.89171;1.831269;0.07
H1;100;48.223659;0.122023;0.07
H1;100;55.792944;0.122118;0.07
H1;100;49.566597;-0.244188;0.07
H1;100;76.791599;0.366235;0.07
H1;100;65.559763;0.122094;0.07
H1;100;90.709317;-0.366306;0.07
H1;100;62.385546;0.244212;0.07
H1;100;61.77512;-4.77E-05;0.07
H1;100;97.912343;0.610375;0.07
H1;100;41.386887;0.244188;0.07
H1;100;46.880724;-0.610423;0.07
H1;100;83.384201;1.098704;0.07
H1;100;5.493835;-1.465011;0.07
H1;100;103.406179;0.488353;0.07
H1;100;66.292271;-0.244164;0.07
H1;100;67.024782;1.220822;0.07
H1;100;58.600903;-0.732517;0.07
H1;100;75.937004;-0.85454;0.07
H1;100;110.365036;0.732541;0.07
H1;100;65.926017;-1.587105;0.07
H1;100;38.33476;-0.610447;0.07
H1;100;55.548774;-0.244141;0.07
H1;100;65.55976;-0.366235;0.07
H1;100;67.63521;-0.12207;0.07
H1;100;65.559764;0.610471;0.07
H1;100;52.496645;-0.366235;0.07
H1;100;53.229153;-1.098728;0.07
H1;100;74.838237;-0.366211;0.07
H1;100;102.429496;2.197504;0.07
H1;100;54.450007;0.854564;0.07
H1;100;67.146869;0;0.07
H1;100;39.067268;2.38E-05;0.07
H1;100;51.764135;-1.098776;0.07
H1;100;47.00281;0.488353;0.07
H1;100;68.001467;-0.854564;0.07
H1;100;78.744966;-0.122118;0.07
H1;100;-8.179709;-0.854635;0.07
H1;100;54.205835;0.244188;0.07
H1;100;20.14406;-0.854611;0.07
H1;100;67.391038;-0.12207;0.07
H1;100;96.691491;0.366211;0.07
H1;100;102.307415;-0.488329;0.07
H1;100;44.927359;-0.122023;0.07
H1;100;47.124892;0.610447;0.07
H1;100;100.720304;0.854588;0.07
H1;100;43.584421;-0.732446;0.07
H1;100;67.513123;-0.366282;0.07
H1;100;68.61189;-0.366211;0.07
H1;100;24.539128;-0.12207;0.07
H1;110;43.706506;1.220822;0.07
H1;110;57.502137;-1.098752;0.07
H1;110;83.750458;-0.244164;0.07
H1;110;91.441827;-0.488329;0.07
H1;110;36.259308;-0.732541;0.07
H1;110;51.031619;-0.488353;0.07
H1;110;56.281285;-0.122094;0.07
H1;110;40.654376;0.610495;0.07
H1;110;27.591258;0;0.07
H1;110;34.794286;1.098728;0.07
H1;110;29.544622;-0.122142;0.07
H1;110;45.65987;1.0988;0.07
H1;110;44.68319;-0.366306;0.07
